------------------------------------------------------------
Loading the dataset...
------------------------------------------------------------

Neural Network
0.771,hls=(16, 64, 16),alpha=0.125,activation=logistic,solver=adam,NeuralNetwork
0.689,hls=(16, 64, 16),alpha=0.25,activation=logistic,solver=adam,NeuralNetwork
0.550,hls=(16, 64, 16),alpha=0.5,activation=logistic,solver=adam,NeuralNetwork
0.420,hls=(16, 64, 16),alpha=1.0,activation=logistic,solver=adam,NeuralNetwork
0.933,hls=(16, 64, 32),alpha=0.00390625,activation=logistic,solver=adam,NeuralNetwork
0.894,hls=(16, 64, 32),alpha=0.0078125,activation=logistic,solver=adam,NeuralNetwork
0.873,hls=(16, 64, 32),alpha=0.015625,activation=logistic,solver=adam,NeuralNetwork
0.865,hls=(16, 64, 32),alpha=0.03125,activation=logistic,solver=adam,NeuralNetwork
0.868,hls=(16, 64, 32),alpha=0.0625,activation=logistic,solver=adam,NeuralNetwork
0.788,hls=(16, 64, 32),alpha=0.125,activation=logistic,solver=adam,NeuralNetwork
0.726,hls=(16, 64, 32),alpha=0.25,activation=logistic,solver=adam,NeuralNetwork
0.669,hls=(16, 64, 32),alpha=0.5,activation=logistic,solver=adam,NeuralNetwork
0.582,hls=(16, 64, 32),alpha=1.0,activation=logistic,solver=adam,NeuralNetwork
0.931,hls=(16, 64, 64),alpha=0.00390625,activation=logistic,solver=adam,NeuralNetwork
0.912,hls=(16, 64, 64),alpha=0.0078125,activation=logistic,solver=adam,NeuralNetwork
0.919,hls=(16, 64, 64),alpha=0.015625,activation=logistic,solver=adam,NeuralNetwork
0.907,hls=(16, 64, 64),alpha=0.03125,activation=logistic,solver=adam,NeuralNetwork
0.896,hls=(16, 64, 64),alpha=0.0625,activation=logistic,solver=adam,NeuralNetwork
0.810,hls=(16, 64, 64),alpha=0.125,activation=logistic,solver=adam,NeuralNetwork
0.751,hls=(16, 64, 64),alpha=0.25,activation=logistic,solver=adam,NeuralNetwork
0.655,hls=(16, 64, 64),alpha=0.5,activation=logistic,solver=adam,NeuralNetwork
0.584,hls=(16, 64, 64),alpha=1.0,activation=logistic,solver=adam,NeuralNetwork
0.869,hls=(32, 16, 16),alpha=0.00390625,activation=logistic,solver=adam,NeuralNetwork
0.859,hls=(32, 16, 16),alpha=0.0078125,activation=logistic,solver=adam,NeuralNetwork
0.832,hls=(32, 16, 16),alpha=0.015625,activation=logistic,solver=adam,NeuralNetwork
0.865,hls=(32, 16, 16),alpha=0.03125,activation=logistic,solver=adam,NeuralNetwork
0.783,hls=(32, 16, 16),alpha=0.0625,activation=logistic,solver=adam,NeuralNetwork
0.738,hls=(32, 16, 16),alpha=0.125,activation=logistic,solver=adam,NeuralNetwork
0.660,hls=(32, 16, 16),alpha=0.25,activation=logistic,solver=adam,NeuralNetwork
0.607,hls=(32, 16, 16),alpha=0.5,activation=logistic,solver=adam,NeuralNetwork
0.581,hls=(32, 16, 16),alpha=1.0,activation=logistic,solver=adam,NeuralNetwork
0.898,hls=(32, 16, 32),alpha=0.00390625,activation=logistic,solver=adam,NeuralNetwork
0.875,hls=(32, 16, 32),alpha=0.0078125,activation=logistic,solver=adam,NeuralNetwork
0.850,hls=(32, 16, 32),alpha=0.015625,activation=logistic,solver=adam,NeuralNetwork
0.823,hls=(32, 16, 32),alpha=0.03125,activation=logistic,solver=adam,NeuralNetwork
0.863,hls=(32, 16, 32),alpha=0.0625,activation=logistic,solver=adam,NeuralNetwork
0.815,hls=(32, 16, 32),alpha=0.125,activation=logistic,solver=adam,NeuralNetwork
0.736,hls=(32, 16, 32),alpha=0.25,activation=logistic,solver=adam,NeuralNetwork
0.610,hls=(32, 16, 32),alpha=0.5,activation=logistic,solver=adam,NeuralNetwork
0.555,hls=(32, 16, 32),alpha=1.0,activation=logistic,solver=adam,NeuralNetwork
0.938,hls=(32, 16, 64),alpha=0.00390625,activation=logistic,solver=adam,NeuralNetwork
0.925,hls=(32, 16, 64),alpha=0.0078125,activation=logistic,solver=adam,NeuralNetwork
0.904,hls=(32, 16, 64),alpha=0.015625,activation=logistic,solver=adam,NeuralNetwork
0.856,hls=(32, 16, 64),alpha=0.03125,activation=logistic,solver=adam,NeuralNetwork
0.843,hls=(32, 16, 64),alpha=0.0625,activation=logistic,solver=adam,NeuralNetwork
0.854,hls=(32, 16, 64),alpha=0.125,activation=logistic,solver=adam,NeuralNetwork
0.708,hls=(32, 16, 64),alpha=0.25,activation=logistic,solver=adam,NeuralNetwork
0.629,hls=(32, 16, 64),alpha=0.5,activation=logistic,solver=adam,NeuralNetwork
0.586,hls=(32, 16, 64),alpha=1.0,activation=logistic,solver=adam,NeuralNetwork
0.889,hls=(32, 32, 16),alpha=0.00390625,activation=logistic,solver=adam,NeuralNetwork
0.868,hls=(32, 32, 16),alpha=0.0078125,activation=logistic,solver=adam,NeuralNetwork
0.862,hls=(32, 32, 16),alpha=0.015625,activation=logistic,solver=adam,NeuralNetwork
0.864,hls=(32, 32, 16),alpha=0.03125,activation=logistic,solver=adam,NeuralNetwork
0.840,hls=(32, 32, 16),alpha=0.0625,activation=logistic,solver=adam,NeuralNetwork
0.812,hls=(32, 32, 16),alpha=0.125,activation=logistic,solver=adam,NeuralNetwork
0.778,hls=(32, 32, 16),alpha=0.25,activation=logistic,solver=adam,NeuralNetwork
0.607,hls=(32, 32, 16),alpha=0.5,activation=logistic,solver=adam,NeuralNetwork
0.533,hls=(32, 32, 16),alpha=1.0,activation=logistic,solver=adam,NeuralNetwork
0.923,hls=(32, 32, 32),alpha=0.00390625,activation=logistic,solver=adam,NeuralNetwork
0.919,hls=(32, 32, 32),alpha=0.0078125,activation=logistic,solver=adam,NeuralNetwork
0.856,hls=(32, 32, 32),alpha=0.015625,activation=logistic,solver=adam,NeuralNetwork
0.900,hls=(32, 32, 32),alpha=0.03125,activation=logistic,solver=adam,NeuralNetwork
0.868,hls=(32, 32, 32),alpha=0.0625,activation=logistic,solver=adam,NeuralNetwork
