------------------------------------------------------------
Loading the dataset...
------------------------------------------------------------
SVM
0.956,kernel=poly,C=2048.0,gamma=0.5,degree=2,SVM
0.948,kernel=poly,C=2048.0,gamma=0.5,degree=3,SVM
0.938,kernel=poly,C=2048.0,gamma=0.5,degree=4,SVM
0.960,kernel=poly,C=2048.0,gamma=2.0,degree=1,SVM
0.956,kernel=poly,C=2048.0,gamma=2.0,degree=2,SVM
0.948,kernel=poly,C=2048.0,gamma=2.0,degree=3,SVM
0.938,kernel=poly,C=2048.0,gamma=2.0,degree=4,SVM
0.960,kernel=poly,C=2048.0,gamma=8.0,degree=1,SVM
0.956,kernel=poly,C=2048.0,gamma=8.0,degree=2,SVM
0.948,kernel=poly,C=2048.0,gamma=8.0,degree=3,SVM
0.938,kernel=poly,C=2048.0,gamma=8.0,degree=4,SVM
0.960,kernel=poly,C=8192.0,gamma=3.0517578125e-05,degree=1,SVM
0.956,kernel=poly,C=8192.0,gamma=3.0517578125e-05,degree=2,SVM
0.948,kernel=poly,C=8192.0,gamma=3.0517578125e-05,degree=3,SVM
0.938,kernel=poly,C=8192.0,gamma=3.0517578125e-05,degree=4,SVM
0.960,kernel=poly,C=8192.0,gamma=0.0001220703125,degree=1,SVM
0.956,kernel=poly,C=8192.0,gamma=0.0001220703125,degree=2,SVM
0.948,kernel=poly,C=8192.0,gamma=0.0001220703125,degree=3,SVM
0.938,kernel=poly,C=8192.0,gamma=0.0001220703125,degree=4,SVM
0.960,kernel=poly,C=8192.0,gamma=0.00048828125,degree=1,SVM
0.956,kernel=poly,C=8192.0,gamma=0.00048828125,degree=2,SVM
0.948,kernel=poly,C=8192.0,gamma=0.00048828125,degree=3,SVM
0.938,kernel=poly,C=8192.0,gamma=0.00048828125,degree=4,SVM
0.960,kernel=poly,C=8192.0,gamma=0.001953125,degree=1,SVM
0.956,kernel=poly,C=8192.0,gamma=0.001953125,degree=2,SVM
0.948,kernel=poly,C=8192.0,gamma=0.001953125,degree=3,SVM
0.938,kernel=poly,C=8192.0,gamma=0.001953125,degree=4,SVM
0.960,kernel=poly,C=8192.0,gamma=0.0078125,degree=1,SVM
0.956,kernel=poly,C=8192.0,gamma=0.0078125,degree=2,SVM
0.948,kernel=poly,C=8192.0,gamma=0.0078125,degree=3,SVM
0.938,kernel=poly,C=8192.0,gamma=0.0078125,degree=4,SVM
0.960,kernel=poly,C=8192.0,gamma=0.03125,degree=1,SVM
0.956,kernel=poly,C=8192.0,gamma=0.03125,degree=2,SVM
0.948,kernel=poly,C=8192.0,gamma=0.03125,degree=3,SVM
0.938,kernel=poly,C=8192.0,gamma=0.03125,degree=4,SVM
0.960,kernel=poly,C=8192.0,gamma=0.125,degree=1,SVM
0.956,kernel=poly,C=8192.0,gamma=0.125,degree=2,SVM
0.948,kernel=poly,C=8192.0,gamma=0.125,degree=3,SVM
0.938,kernel=poly,C=8192.0,gamma=0.125,degree=4,SVM
0.960,kernel=poly,C=8192.0,gamma=0.5,degree=1,SVM
0.956,kernel=poly,C=8192.0,gamma=0.5,degree=2,SVM
0.948,kernel=poly,C=8192.0,gamma=0.5,degree=3,SVM
0.938,kernel=poly,C=8192.0,gamma=0.5,degree=4,SVM
0.960,kernel=poly,C=8192.0,gamma=2.0,degree=1,SVM
0.956,kernel=poly,C=8192.0,gamma=2.0,degree=2,SVM
0.948,kernel=poly,C=8192.0,gamma=2.0,degree=3,SVM
0.938,kernel=poly,C=8192.0,gamma=2.0,degree=4,SVM
0.960,kernel=poly,C=8192.0,gamma=8.0,degree=1,SVM
0.956,kernel=poly,C=8192.0,gamma=8.0,degree=2,SVM
0.948,kernel=poly,C=8192.0,gamma=8.0,degree=3,SVM
0.938,kernel=poly,C=8192.0,gamma=8.0,degree=4,SVM
0.960,kernel=poly,C=32768.0,gamma=3.0517578125e-05,degree=1,SVM
0.956,kernel=poly,C=32768.0,gamma=3.0517578125e-05,degree=2,SVM
0.948,kernel=poly,C=32768.0,gamma=3.0517578125e-05,degree=3,SVM
0.938,kernel=poly,C=32768.0,gamma=3.0517578125e-05,degree=4,SVM
0.960,kernel=poly,C=32768.0,gamma=0.0001220703125,degree=1,SVM
0.956,kernel=poly,C=32768.0,gamma=0.0001220703125,degree=2,SVM
0.948,kernel=poly,C=32768.0,gamma=0.0001220703125,degree=3,SVM
0.938,kernel=poly,C=32768.0,gamma=0.0001220703125,degree=4,SVM
0.960,kernel=poly,C=32768.0,gamma=0.00048828125,degree=1,SVM
0.956,kernel=poly,C=32768.0,gamma=0.00048828125,degree=2,SVM
0.948,kernel=poly,C=32768.0,gamma=0.00048828125,degree=3,SVM
0.938,kernel=poly,C=32768.0,gamma=0.00048828125,degree=4,SVM
0.960,kernel=poly,C=32768.0,gamma=0.001953125,degree=1,SVM
0.956,kernel=poly,C=32768.0,gamma=0.001953125,degree=2,SVM
0.948,kernel=poly,C=32768.0,gamma=0.001953125,degree=3,SVM
0.938,kernel=poly,C=32768.0,gamma=0.001953125,degree=4,SVM
0.960,kernel=poly,C=32768.0,gamma=0.0078125,degree=1,SVM
0.956,kernel=poly,C=32768.0,gamma=0.0078125,degree=2,SVM
0.948,kernel=poly,C=32768.0,gamma=0.0078125,degree=3,SVM
0.938,kernel=poly,C=32768.0,gamma=0.0078125,degree=4,SVM
0.960,kernel=poly,C=32768.0,gamma=0.03125,degree=1,SVM
