------------------------------------------------------------
Loading the dataset...
------------------------------------------------------------
SVM
0.366,kernel=sigmoid,C=8192.0,gamma=0.0001220703125,SVM
0.315,kernel=sigmoid,C=8192.0,gamma=0.00048828125,SVM
0.315,kernel=sigmoid,C=8192.0,gamma=0.001953125,SVM
0.315,kernel=sigmoid,C=8192.0,gamma=0.0078125,SVM
0.315,kernel=sigmoid,C=8192.0,gamma=0.03125,SVM
0.315,kernel=sigmoid,C=8192.0,gamma=0.125,SVM
0.315,kernel=sigmoid,C=8192.0,gamma=0.5,SVM
0.315,kernel=sigmoid,C=8192.0,gamma=2.0,SVM
0.315,kernel=sigmoid,C=8192.0,gamma=8.0,SVM
0.380,kernel=sigmoid,C=32768.0,gamma=3.0517578125e-05,SVM
0.421,kernel=sigmoid,C=32768.0,gamma=0.0001220703125,SVM
0.315,kernel=sigmoid,C=32768.0,gamma=0.00048828125,SVM
0.315,kernel=sigmoid,C=32768.0,gamma=0.001953125,SVM
0.315,kernel=sigmoid,C=32768.0,gamma=0.0078125,SVM
0.315,kernel=sigmoid,C=32768.0,gamma=0.03125,SVM
0.315,kernel=sigmoid,C=32768.0,gamma=0.125,SVM
0.315,kernel=sigmoid,C=32768.0,gamma=0.5,SVM
0.315,kernel=sigmoid,C=32768.0,gamma=2.0,SVM
0.315,kernel=sigmoid,C=32768.0,gamma=8.0,SVM
