------------------------------------------------------------
Loading the dataset...
------------------------------------------------------------
SVM
0.383,kernel=sigmoid,C=8192.0,gamma=0.125,SVM
0.353,kernel=sigmoid,C=8192.0,gamma=0.5,SVM
0.354,kernel=sigmoid,C=8192.0,gamma=2.0,SVM
0.357,kernel=sigmoid,C=8192.0,gamma=8.0,SVM
0.544,kernel=sigmoid,C=32768.0,gamma=3.0517578125e-05,SVM
0.508,kernel=sigmoid,C=32768.0,gamma=0.0001220703125,SVM
0.467,kernel=sigmoid,C=32768.0,gamma=0.00048828125,SVM
0.417,kernel=sigmoid,C=32768.0,gamma=0.001953125,SVM
0.337,kernel=sigmoid,C=32768.0,gamma=0.0078125,SVM
0.372,kernel=sigmoid,C=32768.0,gamma=0.03125,SVM
0.383,kernel=sigmoid,C=32768.0,gamma=0.125,SVM
0.356,kernel=sigmoid,C=32768.0,gamma=0.5,SVM
0.354,kernel=sigmoid,C=32768.0,gamma=2.0,SVM
0.357,kernel=sigmoid,C=32768.0,gamma=8.0,SVM
0.537,kernel=rbf,C=0.125,gamma=3.0517578125e-05,SVM
0.544,kernel=rbf,C=0.125,gamma=0.0001220703125,SVM
0.491,kernel=rbf,C=0.125,gamma=0.00048828125,SVM
0.420,kernel=rbf,C=0.125,gamma=0.001953125,SVM
0.341,kernel=rbf,C=0.125,gamma=0.0078125,SVM
0.320,kernel=rbf,C=0.125,gamma=0.03125,SVM
0.320,kernel=rbf,C=0.125,gamma=0.125,SVM
0.320,kernel=rbf,C=0.125,gamma=0.5,SVM
0.320,kernel=rbf,C=0.125,gamma=2.0,SVM
0.320,kernel=rbf,C=0.125,gamma=8.0,SVM
0.662,kernel=rbf,C=0.5,gamma=3.0517578125e-05,SVM
0.682,kernel=rbf,C=0.5,gamma=0.0001220703125,SVM
0.608,kernel=rbf,C=0.5,gamma=0.00048828125,SVM
0.483,kernel=rbf,C=0.5,gamma=0.001953125,SVM
0.372,kernel=rbf,C=0.5,gamma=0.0078125,SVM
0.323,kernel=rbf,C=0.5,gamma=0.03125,SVM
0.320,kernel=rbf,C=0.5,gamma=0.125,SVM
0.320,kernel=rbf,C=0.5,gamma=0.5,SVM
0.320,kernel=rbf,C=0.5,gamma=2.0,SVM
0.320,kernel=rbf,C=0.5,gamma=8.0,SVM
0.762,kernel=rbf,C=2.0,gamma=3.0517578125e-05,SVM
0.759,kernel=rbf,C=2.0,gamma=0.0001220703125,SVM
0.678,kernel=rbf,C=2.0,gamma=0.00048828125,SVM
0.544,kernel=rbf,C=2.0,gamma=0.001953125,SVM
0.404,kernel=rbf,C=2.0,gamma=0.0078125,SVM
0.328,kernel=rbf,C=2.0,gamma=0.03125,SVM
0.320,kernel=rbf,C=2.0,gamma=0.125,SVM
0.320,kernel=rbf,C=2.0,gamma=0.5,SVM
0.320,kernel=rbf,C=2.0,gamma=2.0,SVM
0.320,kernel=rbf,C=2.0,gamma=8.0,SVM
0.805,kernel=rbf,C=8.0,gamma=3.0517578125e-05,SVM
0.787,kernel=rbf,C=8.0,gamma=0.0001220703125,SVM
0.687,kernel=rbf,C=8.0,gamma=0.00048828125,SVM
0.549,kernel=rbf,C=8.0,gamma=0.001953125,SVM
0.404,kernel=rbf,C=8.0,gamma=0.0078125,SVM
0.328,kernel=rbf,C=8.0,gamma=0.03125,SVM
0.320,kernel=rbf,C=8.0,gamma=0.125,SVM
0.320,kernel=rbf,C=8.0,gamma=0.5,SVM
0.320,kernel=rbf,C=8.0,gamma=2.0,SVM
0.320,kernel=rbf,C=8.0,gamma=8.0,SVM
0.834,kernel=rbf,C=32.0,gamma=3.0517578125e-05,SVM
0.792,kernel=rbf,C=32.0,gamma=0.0001220703125,SVM
0.689,kernel=rbf,C=32.0,gamma=0.00048828125,SVM
0.549,kernel=rbf,C=32.0,gamma=0.001953125,SVM
0.404,kernel=rbf,C=32.0,gamma=0.0078125,SVM
0.328,kernel=rbf,C=32.0,gamma=0.03125,SVM
0.320,kernel=rbf,C=32.0,gamma=0.125,SVM
0.320,kernel=rbf,C=32.0,gamma=0.5,SVM
