Random Forest
0.905,criterion=gini,n=4,minss=2,RandomForest
0.907,criterion=gini,n=4,minss=4,RandomForest
0.904,criterion=gini,n=4,minss=8,RandomForest
0.915,criterion=gini,n=4,minss=16,RandomForest
0.905,criterion=gini,n=4,minss=32,RandomForest
0.932,criterion=gini,n=8,minss=2,RandomForest
0.934,criterion=gini,n=8,minss=4,RandomForest
0.934,criterion=gini,n=8,minss=8,RandomForest
0.939,criterion=gini,n=8,minss=16,RandomForest
0.933,criterion=gini,n=8,minss=32,RandomForest
0.947,criterion=gini,n=16,minss=2,RandomForest
0.947,criterion=gini,n=16,minss=4,RandomForest
0.949,criterion=gini,n=16,minss=8,RandomForest
0.945,criterion=gini,n=16,minss=16,RandomForest
0.942,criterion=gini,n=16,minss=32,RandomForest
0.949,criterion=gini,n=32,minss=2,RandomForest
0.950,criterion=gini,n=32,minss=4,RandomForest
0.954,criterion=gini,n=32,minss=8,RandomForest
0.952,criterion=gini,n=32,minss=16,RandomForest
0.949,criterion=gini,n=32,minss=32,RandomForest
0.954,criterion=gini,n=64,minss=2,RandomForest
0.953,criterion=gini,n=64,minss=4,RandomForest
0.951,criterion=gini,n=64,minss=8,RandomForest
0.954,criterion=gini,n=64,minss=16,RandomForest
0.946,criterion=gini,n=64,minss=32,RandomForest
0.955,criterion=gini,n=128,minss=2,RandomForest
0.958,criterion=gini,n=128,minss=4,RandomForest
0.953,criterion=gini,n=128,minss=8,RandomForest
0.953,criterion=gini,n=128,minss=16,RandomForest
0.949,criterion=gini,n=128,minss=32,RandomForest
0.954,criterion=gini,n=256,minss=2,RandomForest
0.955,criterion=gini,n=256,minss=4,RandomForest
0.954,criterion=gini,n=256,minss=8,RandomForest
0.954,criterion=gini,n=256,minss=16,RandomForest
0.953,criterion=gini,n=256,minss=32,RandomForest
0.955,criterion=gini,n=512,minss=2,RandomForest
0.957,criterion=gini,n=512,minss=4,RandomForest
0.954,criterion=gini,n=512,minss=8,RandomForest
0.953,criterion=gini,n=512,minss=16,RandomForest
0.950,criterion=gini,n=512,minss=32,RandomForest
0.954,criterion=gini,n=1024,minss=2,RandomForest
0.954,criterion=gini,n=1024,minss=4,RandomForest
0.954,criterion=gini,n=1024,minss=8,RandomForest
0.952,criterion=gini,n=1024,minss=16,RandomForest
0.952,criterion=gini,n=1024,minss=32,RandomForest
0.954,criterion=gini,n=2048,minss=2,RandomForest
0.954,criterion=gini,n=2048,minss=4,RandomForest
0.955,criterion=gini,n=2048,minss=8,RandomForest
0.953,criterion=gini,n=2048,minss=16,RandomForest
0.952,criterion=gini,n=2048,minss=32,RandomForest
0.955,criterion=gini,n=4096,minss=2,RandomForest
0.956,criterion=gini,n=4096,minss=4,RandomForest
0.954,criterion=gini,n=4096,minss=8,RandomForest
0.953,criterion=gini,n=4096,minss=16,RandomForest
0.951,criterion=gini,n=4096,minss=32,RandomForest
0.908,criterion=entropy,n=4,minss=2,RandomForest
0.908,criterion=entropy,n=4,minss=4,RandomForest
0.907,criterion=entropy,n=4,minss=8,RandomForest
0.908,criterion=entropy,n=4,minss=16,RandomForest
0.910,criterion=entropy,n=4,minss=32,RandomForest
0.923,criterion=entropy,n=8,minss=2,RandomForest
0.935,criterion=entropy,n=8,minss=4,RandomForest
0.938,criterion=entropy,n=8,minss=8,RandomForest
0.935,criterion=entropy,n=8,minss=16,RandomForest
0.937,criterion=entropy,n=8,minss=32,RandomForest
0.942,criterion=entropy,n=16,minss=2,RandomForest
0.945,criterion=entropy,n=16,minss=4,RandomForest
0.947,criterion=entropy,n=16,minss=8,RandomForest
0.944,criterion=entropy,n=16,minss=16,RandomForest
0.941,criterion=entropy,n=16,minss=32,RandomForest
0.948,criterion=entropy,n=32,minss=2,RandomForest
0.950,criterion=entropy,n=32,minss=4,RandomForest
0.950,criterion=entropy,n=32,minss=8,RandomForest
0.951,criterion=entropy,n=32,minss=16,RandomForest
0.949,criterion=entropy,n=32,minss=32,RandomForest
0.952,criterion=entropy,n=64,minss=2,RandomForest
0.953,criterion=entropy,n=64,minss=4,RandomForest
0.951,criterion=entropy,n=64,minss=8,RandomForest
0.948,criterion=entropy,n=64,minss=16,RandomForest
0.948,criterion=entropy,n=64,minss=32,RandomForest
0.954,criterion=entropy,n=128,minss=2,RandomForest
0.953,criterion=entropy,n=128,minss=4,RandomForest
0.952,criterion=entropy,n=128,minss=8,RandomForest
0.950,criterion=entropy,n=128,minss=16,RandomForest
0.948,criterion=entropy,n=128,minss=32,RandomForest
0.955,criterion=entropy,n=256,minss=2,RandomForest
0.954,criterion=entropy,n=256,minss=4,RandomForest
0.955,criterion=entropy,n=256,minss=8,RandomForest
0.951,criterion=entropy,n=256,minss=16,RandomForest
0.948,criterion=entropy,n=256,minss=32,RandomForest
0.955,criterion=entropy,n=512,minss=2,RandomForest
0.955,criterion=entropy,n=512,minss=4,RandomForest
0.954,criterion=entropy,n=512,minss=8,RandomForest
0.953,criterion=entropy,n=512,minss=16,RandomForest
0.950,criterion=entropy,n=512,minss=32,RandomForest
0.955,criterion=entropy,n=1024,minss=2,RandomForest
0.954,criterion=entropy,n=1024,minss=4,RandomForest
0.955,criterion=entropy,n=1024,minss=8,RandomForest
0.954,criterion=entropy,n=1024,minss=16,RandomForest
0.950,criterion=entropy,n=1024,minss=32,RandomForest
0.955,criterion=entropy,n=2048,minss=2,RandomForest
0.954,criterion=entropy,n=2048,minss=4,RandomForest
0.956,criterion=entropy,n=2048,minss=8,RandomForest
0.952,criterion=entropy,n=2048,minss=16,RandomForest
0.950,criterion=entropy,n=2048,minss=32,RandomForest
0.955,criterion=entropy,n=4096,minss=2,RandomForest
0.954,criterion=entropy,n=4096,minss=4,RandomForest
0.954,criterion=entropy,n=4096,minss=8,RandomForest
0.954,criterion=entropy,n=4096,minss=16,RandomForest
0.951,criterion=entropy,n=4096,minss=32,RandomForest
